Episode,Reward,Steps,RedLightViolations,ObstacleCollisions
1094,-298,87,13,0
1095,-436,74,15,4
1096,-382,75,16,1
1097,-426,77,17,1
1098,-342,95,16,0
1099,-392,52,14,1
1100,-470,89,19,4
1101,-322,65,14,1
1102,-248,78,15,4
1103,-18,69,10,4
1104,-354,87,18,1
1105,-216,68,12,0
1106,-468,86,16,5
1107,-270,67,12,0
1108,-678,93,22,0
1109,-638,81,20,1
1110,-534,81,19,10
1111,-276,70,13,6
1112,-380,74,16,3
1113,-194,83,12,6
1114,-176,58,11,0
1115,-516,98,22,3
1116,-226,69,12,0
1117,-256,78,16,0
1118,-66,61,11,0
1119,-2,65,10,1
1120,-60,62,10,6
1121,-314,75,15,1
1122,-214,61,13,0
1123,-418,81,22,3
1124,-326,55,13,0
1125,-290,61,14,6
1126,-204,80,14,0
1127,-124,62,12,4
1128,-568,74,22,2
1129,-122,61,11,0
1130,-464,78,18,0
1131,-164,68,12,0
1132,-166,57,12,3
1133,-264,70,14,0
1134,-386,67,15,1
1135,-532,74,19,3
1136,-72,60,8,1
1137,-570,81,18,1
1138,-236,102,16,2
1139,-430,69,16,4
1140,-460,80,18,5
1141,-416,72,19,2
1142,-398,103,22,3
1143,-264,66,14,0
1144,-122,59,10,0
1145,-14,67,10,0
1146,-446,45,14,0
1147,-108,70,12,5
1148,-226,67,14,8
1149,-464,84,18,3
1150,-210,73,15,6
1151,-622,89,19,3
1152,-688,72,19,4
1153,-220,70,17,2
1154,-180,60,12,1
1155,-428,70,19,2
1156,-310,77,16,0
1157,-298,89,16,0
1158,-64,64,8,0
1159,-298,81,17,0
1160,-352,78,16,0
1161,-230,69,13,2
1162,-412,80,16,0
1163,-432,80,14,5
1164,-374,79,19,1
1165,-280,68,13,1
1166,-376,72,14,2
1167,-356,86,18,3
1168,-272,66,13,2
1169,-266,77,11,12
1170,-356,94,18,7
1171,-568,90,19,4
1172,-634,75,20,2
1173,-336,50,13,0
1174,-340,68,16,2
1175,-408,86,18,1
1176,-172,60,12,5
1177,-620,80,21,0
1178,-458,89,16,6
1179,-218,65,12,0
1180,-258,73,15,2
1181,-530,73,20,6
1182,-416,80,18,3
1183,-416,78,17,0
1184,-530,77,18,1
1185,-310,71,15,0
1186,-14,61,11,0
1187,-476,64,18,4
